јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;NZVC;јдр;«нчн;;
3D5;F203;3D6;F203;3D5;F203;0;03D5;63CE;0000;;;;
3D6;7EF4;3D7;7EF4;3CB;13D5;0;FFF4;63CE;0001;;;;
3D7;F801;3D8;F801;3D7;F801;0;03D7;63CE;0001;;;;
3D8;EEF2;3D9;EEF2;3CB;63CE;0;FFF2;63CE;0001;3CB;63CE;;
3D9;83CA;3DA;83CA;3CA;0002;0;0001;63CE;0001;3CA;0002;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;63CE;0001;;;;
3D4;ABF4;3D5;ABF4;3DD;0000;0;FFF4;0000;0101;3C9;03DD;;
3D5;F203;3D6;F203;3D5;F203;0;03D5;0000;0101;;;;
3D6;7EF4;3D7;7EF4;3CB;63CE;0;FFF4;0000;1000;;;;
3D7;F801;3D9;F801;3D7;F801;0;0001;0000;1000;;;;
3D9;83CA;3DA;83CA;3CA;0001;0;0000;0000;1000;3CA;0001;;
3DA;CEF9;3D4;CEF9;3DA;03D4;0;FFF9;0000;1000;;;;
3D4;ABF4;3D5;ABF4;3DC;D3D7;0;FFF4;D3D7;1000;3C9;03DC;;
3D5;F203;3D9;F203;3D5;F203;0;0003;D3D7;1000;;;;
3D9;83CA;3DB;83CA;3CA;0000;0;FFFF;D3D7;1000;3CA;0000;;
3DB;100;3DC;0100;3DB;0100;0;03DB;D3D7;1000;;;;
